articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
11-5-2015_CLASS,3.56,3.56,mean,0,MATCH,NA
11-5-2015_CLASS,1.86,1.86,sd,0,MATCH,NA
11-5-2015_CLASS,3.3,3.24,other,1.8181818181818064,MINOR_ERROR,NA
11-5-2015_CLASS,3.85,3.88,other,0.7792207792207742,MINOR_ERROR,NA
11-5-2015_CLASS,2.9,2.9,mean,0,MATCH,NA
11-5-2015_CLASS,1.5,1.5,sd,0,MATCH,NA
11-5-2015_CLASS,2.61,2.64,other,1.1494252873563313,MINOR_ERROR,NA
11-5-2015_CLASS,3.16,3.15,other,0.31645569620253894,MINOR_ERROR,NA
11-5-2015_CLASS,1.51,1.51,mean,0,MATCH,NA
11-5-2015_CLASS,1.29,1.29,sd,0,MATCH,NA
11-5-2015_CLASS,1.25,1.3,other,4.0000000000000036,MINOR_ERROR,NA
11-5-2015_CLASS,1.78,1.73,other,2.8089887640449462,MINOR_ERROR,NA
11-5-2015_CLASS,4.99,4.99,mean,0,MATCH,NA
11-5-2015_CLASS,1.68,1.68,sd,0,MATCH,NA
11-5-2015_CLASS,4.72,4.71,other,0.2118644067796565,MINOR_ERROR,NA
11-5-2015_CLASS,5.26,5.27,other,0.1901140684410606,MINOR_ERROR,NA
11-5-2015_CLASS,1,1,df,0,MATCH,NA
11-5-2015_CLASS,263,263,df,0,MATCH,NA
11-5-2015_CLASS,111.06,110.67,F,0.3511615343057812,MINOR_ERROR,NA
11-5-2015_CLASS,<.001,<2e-16,p,NA,MATCH,TRUE
11-5-2015_CLASS,0.3,0.3,other,0,MATCH,NA
11-5-2015_CLASS,1,1,df,0,MATCH,NA
11-5-2015_CLASS,263,263,df,0,MATCH,NA
11-5-2015_CLASS,115.25,114.4,F,0.7375271149674572,MINOR_ERROR,NA
11-5-2015_CLASS,<.001,<2e-16,p,NA,MATCH,TRUE
11-5-2015_CLASS,0.31,0.3,other,3.2258064516129057,MINOR_ERROR,NA
